fc2,测试集1,0.946,0.94,0.95,0.955,0.96,0.925
fc2,测试集2,0.951952,0.954774,0.975,0.965,0.95,0.915
fc2,测试集2,0.958959,0.969849,0.97,0.99,0.97,0.895
fc2,测试集2,0.954955,0.9799,0.965,0.97,0.95,0.91
fc2,测试集2,0.957958,0.9799,0.975,0.98,0.94,0.915
fc2,测试集2,0.953954,0.959799,0.965,0.98,0.95,0.915
fc2,测试集2,0.957958,0.9799,0.965,0.99,0.94,0.915
fc,测试集1,0.935,0.9,0.93,0.955,0.98,0.91
fc,测试集2,0.940941,0.924623,0.945,0.97,0.965,0.9
fc2,测试集1,0.954,0.955,0.945,0.975,0.975,0.92
fc2,测试集2,0.957958,0.9799,0.96,0.975,0.955,0.92
fc,测试集1,0.935,0.895,0.925,0.96,0.985,0.91
fc,测试集2,0.941942,0.924623,0.95,0.97,0.965,0.9
fc2,测试集1,0.951,0.945,0.94,0.965,0.985,0.92
fc2,测试集2,0.953954,0.949749,0.97,0.98,0.955,0.915
fc,测试集1,0.933,0.89,0.93,0.96,0.975,0.91
fc,测试集2,0.942943,0.924623,0.955,0.97,0.965,0.9
fc2,测试集1,0.949,0.955,0.93,0.96,0.975,0.925
fc2,测试集2,0.952953,0.9799,0.95,0.965,0.95,0.92
fc,测试集1,0.933,0.89,0.93,0.96,0.98,0.905
fc,测试集2,0.941942,0.924623,0.95,0.97,0.965,0.9
fc2,测试集1,0.947,0.945,0.925,0.97,0.975,0.92
fc2,测试集2,0.950951,0.969849,0.96,0.975,0.96,0.89
fc,测试集1,0.935,0.895,0.935,0.955,0.98,0.91
fc,测试集2,0.941942,0.924623,0.945,0.975,0.965,0.9
fc2,测试集1,0.952,0.945,0.925,0.98,0.97,0.94
fc2,测试集2,0.950951,0.959799,0.94,0.985,0.94,0.93
fc,测试集1,0.934,0.895,0.935,0.96,0.975,0.905
fc,测试集2,0.941942,0.924623,0.95,0.97,0.965,0.9
fc2,测试集1,0.958,0.96,0.945,0.975,0.97,0.94
fc2,测试集2,0.963964,0.9799,0.97,0.985,0.95,0.935
fc,测试集1,0.933,0.895,0.925,0.96,0.975,0.91
fc,测试集2,0.941942,0.924623,0.95,0.97,0.965,0.9
fc2,测试集1,0.948,0.95,0.92,0.985,0.97,0.915
fc2,测试集2,0.945946,0.974874,0.925,0.975,0.945,0.91
fc,测试集1,0.933,0.9,0.92,0.965,0.975,0.905
fc,测试集2,0.942943,0.924623,0.955,0.97,0.965,0.9
fc2,测试集1,0.951,0.945,0.935,0.98,0.97,0.925
fc2,测试集2,0.948949,0.954774,0.965,0.97,0.94,0.915
fc,测试集1,0.934,0.9,0.915,0.96,0.985,0.91
fc,测试集2,0.940941,0.929648,0.94,0.97,0.965,0.9
fc2,测试集1,0.955,0.955,0.95,0.985,0.955,0.93
fc2,测试集2,0.952953,0.974874,0.95,0.985,0.94,0.915
fc,测试集1,0.934,0.895,0.93,0.955,0.98,0.91
fc,测试集2,0.941942,0.924623,0.95,0.97,0.965,0.9
fc2,测试集1,0.953,0.95,0.94,0.965,0.97,0.94
fc2,测试集2,0.958959,0.959799,0.975,0.98,0.955,0.925
fc,测试集1,0.935,0.895,0.925,0.96,0.985,0.91
fc,测试集2,0.940941,0.924623,0.945,0.97,0.965,0.9
fc2,测试集1,0.954,0.955,0.93,0.985,0.98,0.92
fc2,测试集2,0.954955,0.969849,0.955,0.98,0.96,0.91
fc,测试集1,0.934,0.895,0.93,0.955,0.98,0.91
fc,测试集2,0.942943,0.924623,0.955,0.97,0.965,0.9
